logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols
204749_at	-5.48953017790896	7.00711870807994	-14.6045811487542	3.55199629652137e-08	1.24347193426683e-05	9.49593914751458	NAP1L3
210915_x_at	4.70554174687142	3.72668905964531	14.5195480759324	3.76084893054104e-08	1.29671348903029e-05	9.44024742502479	TRBC1
223303_at	4.2181761350128	5.49203835238507	14.5045511109516	3.79905805033411e-08	1.29671348903029e-05	9.43038757316381	FERMT3
203632_s_at	-4.38389372564109	7.58285441744811	-14.4674957306658	3.89530024249242e-08	1.313148992858e-05	9.40597653778905	GPRC5B
39549_at	4.37574527532831	4.8588345660744	14.1568633348383	4.81542856218928e-08	1.58421797974868e-05	9.19857437874664	NPAS2
226558_at	-6.4447333477843	7.59512142195588	-14.0537138268194	5.17158691010311e-08	1.66135708432089e-05	9.12859186145293	NA
201427_s_at	-6.38756074714229	8.87834978024345	-14.0132466497107	5.31909595453911e-08	1.68887481551913e-05	9.10098258795734	SELENOP
218967_s_at	-4.286403214894	5.54079163909051	-13.6360744995096	6.93815859309104e-08	2.03713288755854e-05	8.83939285652692	PTER
211991_s_at	-5.90108687534522	6.46734428107334	-13.4933817855214	7.68528675190418e-08	2.1954229564544e-05	8.73837811067908	HLA-DPA1
201150_s_at	-6.02712814265147	9.25764268556011	-13.4719464721048	7.80492711072573e-08	2.19712721325234e-05	8.72310441243003	TIMP3
221766_s_at	-4.39365526889448	7.20030957015211	-13.1913864538789	9.57362735998484e-08	2.64554915302509e-05	8.52075946042899	FAM46A
221974_at	4.01971540006742	5.92122792195345	13.1607971285081	9.79153211964999e-08	2.67367576059163e-05	8.49842104861301	NA
213462_at	4.36132161132094	5.16276307228018	12.7447875037475	1.33609944508495e-07	3.54209043179511e-05	8.18906007798975	NPAS2
218805_at	-4.86293269299464	9.35402566845655	-12.5858078820939	1.50822532238094e-07	3.92224768123181e-05	8.06803251206701	NA
209735_at	-4.09897509249836	8.59825033432502	-12.5287358391741	1.57580795742344e-07	3.97814768113472e-05	8.02419687257722	ABCG2
204933_s_at	-5.15522658225042	6.42102731886727	-11.7640631553361	2.88571601333938e-07	6.40628954961343e-05	7.41628154194302	TNFRSF11B
206343_s_at	4.38674998306243	4.04115167804709	11.7252504728975	2.97842335154212e-07	6.55877645461365e-05	7.38436649875597	NRG1
205270_s_at	-4.1832288604496	6.34210673159347	-11.6422972590334	3.18765135831227e-07	6.8729725621085e-05	7.31579954333689	LCP2
203372_s_at	-5.14090195773458	8.27210631416543	-11.5429947942332	3.45945815204656e-07	7.37999721092058e-05	7.23307510242267	SOCS2
64064_at	-4.48075377606811	8.7272207965129	-11.4129883351642	3.85422799178319e-07	7.96815434396867e-05	7.12369821165172	NA
209589_s_at	5.00851012648655	5.4736634031997	11.3354738425952	4.11281771715639e-07	8.38094034213973e-05	7.0578964878852	EPHB2
202437_s_at	-7.71868340939274	8.30069452967023	-11.1280425675144	4.90272344182998e-07	9.42773002131052e-05	6.8796121735832	CYP1B1
1552767_a_at	4.18674259504418	4.61022046941283	11.0971710342826	5.03381524185492e-07	9.58255898447851e-05	6.8528013553579	HS6ST2
209687_at	-6.77195912671747	7.64702492450048	-11.0143186136096	5.40491773928527e-07	9.96922661687423e-05	6.78048707502401	CXCL12
202947_s_at	-4.25501653583866	9.08576746842994	-10.8701301401137	6.12390786875304e-07	0.000108584044327383	6.65337357957073	GYPC
1556037_s_at	4.17989974330846	9.56294128972731	10.6328152228516	7.54487605221327e-07	0.000128762740926085	6.44059289904068	HHIP
209955_s_at	-4.33406429550744	6.60621278035108	-10.6234167949365	7.60810279621001e-07	0.000129035313635597	6.43207313069198	FAP
200606_at	-5.73940478708326	6.79301085469354	-10.5218728502756	8.32929956099132e-07	0.000137011960127969	6.33956387504112	DSP
1570515_a_at	-4.9256283493951	7.33576713706497	-10.3830808347073	9.4382307463072e-07	0.000150713642548927	6.21174752338728	FILIP1
223689_at	6.09312120402092	4.53703116829035	10.2332238621638	1.0819081506099e-06	0.00016881476548888	6.07192967613183	IGF2BP1
221085_at	4.31300345943988	5.11207713169806	10.1862230148746	1.12963748902619e-06	0.00017137758310739	6.02768419373606	TNFSF15
230135_at	4.13541344151344	9.75586419700789	10.1861496141133	1.12971379767561e-06	0.00017137758310739	6.02761494784391	HHIP
229748_x_at	-4.61090135979594	6.09979494077416	-10.1785584244301	1.13763612439107e-06	0.000171625922721672	6.02045095855227	NA
51158_at	4.10824006453055	5.0968174886415	10.0999563406059	1.22331974448522e-06	0.000176740576417531	5.94597994561628	FAM174B
204972_at	-4.10856226343259	5.98493595409085	-9.93222207771655	1.43063089792594e-06	0.000201364986076112	5.78525812368888	OAS2
212444_at	5.25617715033944	4.39034138815272	9.92416222323103	1.44151257410338e-06	0.000201656542853948	5.77747269061163	GPRC5A
228372_at	-4.45398340843791	8.09958414631711	-9.8895728548488	1.48924598798432e-06	0.000204348497225627	5.74399529512479	C10orf128
206204_at	6.15016243840194	5.9074457751226	9.81730056947598	1.59463161795175e-06	0.000213446132155835	5.67370055164011	GRB14
201438_at	-7.39749042047506	7.96796904931665	-9.78508756267456	1.64419621068216e-06	0.000214669973339975	5.64221730387773	COL6A3
226482_s_at	5.73816618914016	4.17878584456518	9.77579358899187	1.65880628340785e-06	0.000214669973339975	5.63311640590497	TSTD1
211796_s_at	8.06208699007927	5.13635982769864	9.73322757493482	1.72754961702803e-06	0.000218522686748178	5.59133431546308	NA
230030_at	4.45962478194188	3.86262492434962	9.48971003193991	2.185506702319e-06	0.000258343922136462	5.3490921030456	HS6ST2
221802_s_at	4.84947601820957	6.6003326876608	9.40201111269306	2.38151624777546e-06	0.000276627075089647	5.26049166319718	SHTN1
226303_at	-4.10467582154062	4.55436945887811	-9.25571019139721	2.75240715154829e-06	0.000306764202776235	5.11104828292908	PGM5
202435_s_at	-7.50162298292201	8.32320203669106	-9.14841066521652	3.06426080808495e-06	0.000333357392930548	5.00012152291644	CYP1B1
203666_at	-5.74818282803367	7.01566103628936	-9.13549472307836	3.10431813162556e-06	0.000335045497637026	4.98669259026502	CXCL12
220108_at	-4.55674605942236	5.45908923638177	-9.00472575172358	3.54353060698388e-06	0.00037358936970773	4.84979514056848	GNA14
235746_s_at	4.36257054681352	4.50511831873569	8.85442419118549	4.13348583998964e-06	0.000418033201284285	4.69032037797628	PLA2R1
206464_at	7.03871984962753	7.56060377014322	8.82085801177571	4.27932358917934e-06	0.000429600036493129	4.65439009894204	BMX
204932_at	-4.33564530417231	5.83708736121816	-8.71997385544759	4.75234228991047e-06	0.000465116338954463	4.54569832856835	TNFRSF11B
237466_s_at	4.26718825886885	10.9534447001708	8.69351561892855	4.88559747212219e-06	0.000466454981027163	4.51701674677959	HHIP
211165_x_at	5.08485867004986	5.35360806922566	8.68651642221249	4.92152344125609e-06	0.000468247801696651	4.50941710725227	EPHB2
1556499_s_at	-9.19110707513573	9.14671132439424	-8.58515583094363	5.47526022230705e-06	0.000512011834350399	4.39878140999204	COL1A1
205081_at	-4.16050986931242	6.43884032142176	-8.55330567126061	5.66295388328401e-06	0.000525910312079952	4.36379145728838	CRIP1
218454_at	-5.01503354510946	4.65289301315026	-8.52918711123956	5.80973149252409e-06	0.000532528333866902	4.33722309958422	PLBD1
202403_s_at	-7.82040663566538	10.4633258851317	-8.48880278125483	6.06482829256675e-06	0.000552020671189425	4.29259691029914	COL1A2
239058_at	4.34145047799402	5.79667225998629	8.47246101288205	6.1714884819782e-06	0.000556167209534313	4.2744886842519	FOXC2
205514_at	-4.26385751482519	5.39269537981161	-8.21533606182579	8.14752222310076e-06	0.000668032096099958	3.98572719535449	ZNF415
212558_at	-4.38734736486388	6.62969580026546	-8.11464571717566	9.1002297155863e-06	0.000722357187830812	3.87064642033578	SPRY1
229800_at	-5.6133220660198	6.5742294719265	-8.09283514934973	9.32212303318141e-06	0.000733573174478535	3.8455678374786	DCLK1
205110_s_at	-4.30702191430512	8.67530355857066	-8.08006344876503	9.45477643748642e-06	0.000739748210320929	3.83085738108525	FGF13
223775_at	4.25361152156192	8.20241984448601	8.05965960046614	9.67096717286914e-06	0.00075450122749247	3.80731766377899	HHIP
206172_at	-6.06403319145856	6.8398452641146	-8.04728438085066	9.8046969458757e-06	0.000758433583014397	3.79301735091148	IL13RA2
229242_at	5.00736712914575	6.51420765886262	7.90657387141114	1.14746214075035e-05	0.000853749351916324	3.62917963150417	TNFSF15
206011_at	-4.10062781326959	5.70938752784668	-7.88136513091366	1.18051349331819e-05	0.000873579985055457	3.59958530670283	CASP1
204529_s_at	4.39264467570784	4.49150813082468	7.79351774357127	1.30399992523076e-05	0.000946995264849764	3.49587353658715	TOX
217757_at	-6.52367735228419	9.58051907538785	-7.7431868454583	1.38100270723696e-05	0.00097740779096221	3.43604335791451	A2M
205547_s_at	-6.04203829989298	9.04969227260474	-7.61554575458873	1.5992711954353e-05	0.00107351328771992	3.2829575096504	TAGLN
209071_s_at	5.8972703622293	9.18361831086458	7.57768177232414	1.67099934577929e-05	0.00109535958633868	3.23716855720261	RGS5
209312_x_at	-8.42274850722458	8.33717734973442	-7.56092429617832	1.70384919443991e-05	0.00110213661466855	3.21684825597933	NA
209604_s_at	5.06293064279623	5.8685818677239	7.55912740420043	1.7074129423166e-05	0.00110213661466855	3.21466729979251	GATA3
217388_s_at	-5.19000364282961	8.0824485544582	-7.55604652603887	1.71354198955239e-05	0.00110213661466855	3.21092700711709	KYNU
227230_s_at	4.09933968767868	5.87950103351161	7.55511319850638	1.71540343233771e-05	0.00110213661466855	3.20979368738379	KIAA1211
219403_s_at	5.16038349720848	5.66002618897661	7.39827056827025	2.0616162818431e-05	0.00123724163059358	3.0178284561678	HPSE
204818_at	-5.43297478805081	8.96954928042739	-7.39602584564778	2.06708958912375e-05	0.00123777273093207	3.01505906350967	HSD17B2
206114_at	5.02962532847786	5.0265196025622	7.39234438079985	2.07610016394525e-05	0.00123777273093207	3.01051575917384	EPHA4
207601_at	4.05062906970091	4.44350006430382	7.33634575716032	2.21852776827692e-05	0.00128891743065042	2.94120001859607	SULT1B1
220301_at	-4.09035412190899	6.25387783362775	-7.32622525732938	2.24537816510162e-05	0.00129898932576833	2.92863104427017	CCDC102B
202310_s_at	-8.24184403280187	8.67293796784978	-7.17424682280904	2.6938124874211e-05	0.00144513249079608	2.7383357152915	COL1A1
205679_x_at	-5.60159396300054	6.28589594271919	-7.11271582678509	2.90213461251123e-05	0.001512322284909	2.66045865075914	ACAN
227449_at	4.9508349294883	5.92959529139682	7.05936292907814	3.09689100504021e-05	0.00159253683208339	2.59253975372451	EPHA4
202404_s_at	-7.46730864959263	8.6713044613964	-7.0103982362131	3.28809360256454e-05	0.00165654398360936	2.5298843408958	COL1A2
208306_x_at	-6.68404239444181	8.93167480564336	-6.92594063323596	3.64852262401038e-05	0.00178222824277688	2.42108117388812	NA
205743_at	-5.23530898920046	5.97632515703286	-6.83509359627478	4.0843997610564e-05	0.00192290723923114	2.30300553550962	STAC
202436_s_at	-5.52142363187759	6.04912926784239	-6.80433569817501	4.24445187155527e-05	0.00197442934931326	2.26278260635874	CYP1B1
213139_at	-4.56446586241316	6.4946216920513	-6.78602352805596	4.34294540173113e-05	0.00199643884073519	2.23877583607934	SNAI2
205399_at	-5.141795881026	7.76508288995325	-6.66723053943471	5.04491677273307e-05	0.00217969141449761	2.08195771847302	DCLK1
215193_x_at	-8.17146453338027	8.11171850475094	-6.61405485868672	5.39797022070368e-05	0.00227783918679845	2.01114853412534	NA
209070_s_at	6.32807876440487	7.80047003672724	6.49300679047332	6.30498688111745e-05	0.00248081977501704	1.84853504976613	RGS5
205554_s_at	-8.40149859163201	7.96521159625487	-6.36939119793186	7.40308865341551e-05	0.00276157117065334	1.68041094909952	DNASE1L3
221731_x_at	-4.37517583630605	6.59983055208594	-6.36038987599203	7.49072845215817e-05	0.00277533013724058	1.66808670080537	VCAN
217161_x_at	-5.18954506142559	6.60807638754605	-6.33177912645569	7.77678795847829e-05	0.00284793160834882	1.62883981781942	ACAN
222196_at	-4.48402943950854	5.28435452814702	-6.25745820329229	8.57626612971608e-05	0.00303346532303144	1.52636090472101	LOC389906
218353_at	5.03999892000911	6.7191845692106	6.17380612682583	9.58321304863814e-05	0.00323891376150546	1.41009759661327	RGS5
211478_s_at	-4.88437653745243	5.55742057234176	-6.16688450090749	9.67204974062314e-05	0.00325715707277559	1.40043390169016	DPP4
213428_s_at	-4.29334089371472	7.91656228418332	-6.05249692465032	0.000112758265501951	0.00359273885390464	1.23975860042706	COL6A1
207692_s_at	-4.66763508656342	6.66684485514222	-5.96984156036843	0.000126116340296759	0.00385205009859429	1.12251068586069	ACAN
225895_at	-5.5162563177555	6.73642617477602	-5.96358585190282	0.000127194328793961	0.00386336856735029	1.1135975994565	SYNPO2
215076_s_at	-7.30444677070164	10.4636518021912	-5.95824568398139	0.000128122377822606	0.00387819555356186	1.10598458955458	COL3A1
201645_at	-4.94558085574035	6.30017103492201	-5.90047057023423	0.000138640829174958	0.00406630126901332	1.02336153040519	TNC
203963_at	-4.68838150229739	6.18884398152939	-5.87148335422089	0.000144264032269765	0.00417738458659406	0.981729192841652	CA12
210663_s_at	-4.10152720532885	6.88096411148774	-5.7819483171334	0.00016323328602727	0.00455751340312947	0.852382103919306	KYNU
204670_x_at	-6.79993779787052	8.32809060974968	-5.75353048477141	0.000169799982551951	0.00464058835497083	0.811089572854431	NA
201852_x_at	-7.6423217332231	9.30408517892904	-5.71427624372377	0.00017934045346013	0.0048293107042989	0.753861789305095	COL3A1
208885_at	-4.49881058961106	6.10790649797073	-5.67154748261157	0.000190382090583405	0.00499275637863359	0.691318580382746	LCP1
212158_at	-4.35084491479738	8.90591903450331	-5.66071593818239	0.000193295310309963	0.00502678261268938	0.675422732244201	SDC2
205113_at	-5.45878134767551	8.11783124941384	-5.6539284100508	0.000195145170240865	0.00504069515334763	0.665453141771383	NEFM
200974_at	-4.00429757089474	11.0298353591153	-5.5649228709928	0.00022123777915335	0.00546213272835567	0.534111442011018	ACTA2
212154_at	-4.27409078065048	8.41011429220615	-5.46931588492665	0.00025347908455782	0.00595654034676062	0.391765987599017	SDC2
210809_s_at	-7.71316358991221	7.57771607775232	-5.42660434018499	0.000269474773388137	0.0061674604122896	0.327751970451383	POSTN
203477_at	-5.39946747360263	6.84267889212539	-5.34992232072478	0.000300963078474942	0.00663820502490854	0.212170445471116	COL15A1
208851_s_at	-4.41560465043167	6.90733534297088	-5.18463685162007	0.000383002905326803	0.00778145634884946	-0.0398119150176424	THY1
227952_at	-4.21936429025753	7.05016489654062	-5.15319574256768	0.00040115131860585	0.00798967024496816	-0.0881839329480192	ZNF595
203716_s_at	-4.19920266040992	6.4613713225142	-5.13778377896911	0.000410380209267543	0.00813786637201128	-0.111946244344442	DPP4
206432_at	-4.40641523645477	4.68625504829184	-5.04185304692763	0.000473156451494756	0.00885538729576135	-0.260605971623345	HAS2
1555724_s_at	-4.48730090763748	6.08302564898888	-5.01291530416655	0.000494043143021492	0.00909665681951778	-0.305703249499998	TAGLN
209283_at	-4.62350762030464	5.9640315239684	-5.01187290759425	0.000494813598122474	0.00910054257187676	-0.307329931406566	CRYAB
211959_at	-5.70727995479628	6.71051681503484	-4.87355297359174	0.000609315386491768	0.0104773085286802	-0.524521346110932	IGFBP5
227480_at	-4.94978135515567	5.41329213236673	-4.78849801490377	0.000693459405409202	0.0112913551127631	-0.659384181739497	SUSD2
204438_at	-4.43053837793715	6.12022761856078	-4.66238062434633	0.000841677691943921	0.0126348823838487	-0.861157603973514	MRC1
229963_at	-4.15765411743914	5.22779076890661	-4.65183208393775	0.000855512775802722	0.0127611536945914	-0.878130300155054	BEX5
208850_s_at	-4.61998258340216	6.05997272910688	-4.6443172054269	0.000865515827812534	0.0128432212066729	-0.890230779690055	THY1
1555778_a_at	-5.93070267666137	6.19470398755282	-4.51226651213745	0.00106304307452941	0.0146160393721552	-1.104063219918	POSTN
203092_at	-4.51696988253101	7.44545394745311	-4.45858614049523	0.0011565004916652	0.0154422505747726	-1.19162959648339	TIMM44
210095_s_at	-4.17330577183956	6.5089528958861	-4.39053527392019	0.00128761741978328	0.0165021314552226	-1.30315723839821	IGFBP3
201797_s_at	-4.2126429124532	7.67795897142329	-4.36013115045803	0.00135118515688863	0.0169490229144538	-1.353170682107	VARS
204238_s_at	-4.05578627469861	6.3631588262277	-4.32894646186468	0.00141983285297726	0.0174572456338714	-1.40458469900207	DNPH1
226847_at	-4.02030354165687	8.5067743453328	-4.19364644241204	0.00176309999901257	0.0197744346313249	-1.62898461264053	FST
218717_s_at	-4.56428915462532	5.66417878433791	-4.12048426802046	0.00198412302702166	0.0212298053980617	-1.7511959883852	P3H2
206634_at	-4.3444997508876	5.70262121582579	-4.10361042390041	0.0020391136796242	0.0216251814987095	-1.77946565596987	SIX3
242054_s_at	-4.68855833254621	5.09585888041115	-4.01267785837388	0.00236427281245324	0.0236467428779596	-1.93232857796262	SIX3
203815_at	-5.06358998727421	5.94150348835762	-3.95060147512509	0.00261712071969605	0.0250571873674686	-2.03716659477673	GSTT1
226311_at	-4.56576460398743	5.89353064969475	-3.90626697242697	0.00281491361690888	0.0263232983641486	-2.1122701447439	ADAMTS2
227949_at	-4.0268717155813	4.11638441559582	-3.87984465571399	0.00294016669776582	0.0270864344970288	-2.15711758448532	PHACTR3
202481_at	4.05387710818546	6.05434197173276	3.81748299017362	0.00325941372365286	0.0287666441121416	-2.26321492861741	DHRS3
205899_at	4.17587808262779	6.55167655743941	3.7111735411036	0.00388962596764894	0.0319717419243293	-2.44483575498803	CCNA1
203093_s_at	-5.3829065041901	8.11513597721212	-3.62221806924857	0.00451402051303568	0.0352569597017336	-2.59746715203545	TIMM44
218469_at	-4.0297429848173	6.83123411486099	-3.54786680714029	0.00511542760073848	0.0381644442802636	-2.72544282900878	GREM1
221529_s_at	-4.51061475420057	6.09029075828306	-3.3821565059648	0.00677302983488634	0.0456765504251436	-3.01172737882115	PLVAP
202311_s_at	-4.00817160893091	6.52544765600853	-3.36335022817499	0.00699334950594331	0.0467689305055264	-3.04429036485816	COL1A1
218468_s_at	-4.2678919623127	6.84188376159014	-3.33410763666614	0.00735068619592536	0.0483075420615975	-3.09494627884943	GREM1
201564_s_at	-4.12972395249481	8.58999440127236	-3.26094158898084	0.00832929704748202	0.0523934082420051	-3.22178647613708	FSCN1
211161_s_at	-4.17828375127834	7.02657004114321	-3.10128678098944	0.0109552752081461	0.06256949274914	-3.49878404687261	COL3A1
213592_at	-5.86149938651884	5.47770358343779	-3.04395762337485	0.0120926247629208	0.0666400023766531	-3.59821838678808	APLNR
209728_at	-4.68497409111354	5.48872425215507	-2.9014788438223	0.0154670445110043	0.0783277294913728	-3.84494327517962	HLA-DRB4
208191_x_at	-5.00630124847338	6.63894817021019	-2.66536479701209	0.0232804584823648	0.101786057108914	-4.25114553837652	PSG4
202736_s_at	-4.1510977327546	6.87382067318376	-2.5819869613731	0.0268961454768324	0.111125154847993	-4.39329066793237	LSM4
200795_at	-4.36822004271257	6.06310613817407	-2.18127967783829	0.0535742624342825	0.174841497553546	-5.06027240159774	SPARCL1
